**********************************
LOGGING TIME: 20161112_211038
CLIENT IP: 192.168.88.1
USERNAME: Ramola
OS: Windows 8.1
*********************Neutral database**********************************
MM, 16, 0, 512
MM, 17, 1, 12
MM, 18, 2, 13
MM, 20, 5, 12
MM, 21, 9, -4
MM, 24, 13, 28
MM, 26, 15, 12
MM, 28, 18, 12
MM, 31, 21, 12
MM, 33, 22, 12
MM, 35, 24, 13
MM, 36, 25, 12
MC, 1, 353
MM, 37, 25, 465
MM, 38, 25, 48
MM, 41, 25, 37
MM, 8, 25, 24
MM, 15, 25, 12
MM, 23, 25, 12
MM, 41, 27, 12
MM, 20, 27, 12
MM, 2, 7, 37
MM, 34, 18, 12
MM, 11, 28, 12
MM, 4, 6, 25
MM, 13, 9, 13
MM, 21, 3, 243
MM, 8, 28, 12
MM, 4, 7, 13
MM, 83, 0, 292
MM, 81, 2, 13
MM, 80, 3, 12
MM, 80, 4, 12
MM, 79, 4, 12
MM, 78, 4, 35
MM, 78, 5, 13
MM, 77, 6, 37
MM, 77, 7, 24
MC, 1, 367
MM, 73, 7, 122
MM, 65, 7, 12
MM, 50, 7, 12
MM, 30, 1, 12
MM, 197, 61, 85
MM, 191, 61, 12
MM, 187, 60, 12
MM, 185, 60, 13
MM, 185, 59, 24
MM, 184, 59, 49
MM, 183, 58, 13
MM, 182, 58, 12
MM, 182, 57, 12
MM, 181, 57, 12
MM, 179, 60, 74
MC, 1, 756
MM, 0, 0, 171
MM, 43, 5, 12
MM, 37, 9, 12
MM, 35, 12, 12
MM, 33, 12, 12
MM, 32, 13, 12
MM, 30, 14, 25
MM, 29, 15, 12
MM, 28, 15, 24
MM, 27, 17, 24
MM, 25, 18, 12
MM, 21, 21, 12
MM, 14, 22, 14
MM, 10, 23, 12
MM, 5, 25, 12
MM, 1, 25, 12
MM, 43, 25, 60
MM, 41, 25, 13
MM, 40, 25, 12
MM, 39, 24, 12
MM, 38, 24, 13
MM, 34, 23, 24
MM, 31, 22, 12
MM, 27, 20, 12
MM, 24, 18, 13
MM, 22, 17, 12
MM, 19, 15, 12
MM, 19, 14, 12
MM, 19, 12, 12
MM, 19, 11, 12
MC, 1, 293
MM, 20, 10, 109
MM, 29, 8, 12
MM, 19, 7, 24
MM, 13, 17, 13
MM, 9, 2, 13
MM, 141, 12, 24
MM, 38, 19, 330
MM, 50, 10, 12
MM, 60, 5, 12
MM, 71, 1, 12
MM, 14, 24, 13
MM, 16, 23, 13
MM, 17, 23, 11
MM, 18, 23, 12
MM, 19, 23, 48
MM, 18, 23, 183
MM, 17, 23, 13
MM, 15, 23, 12
MM, 14, 23, 12
MM, 11, 23, 12
MM, 9, 23, 12
MM, 7, 23, 12
MM, 5, 23, 12
MM, 1, 23, 13
MM, 42, 24, 25
MM, 37, 24, 12
MM, 35, 24, 12
MM, 33, 24, 12
MM, 32, 24, 12
MM, 31, 24, 37
MM, 31, 23, 97
MC, 1, 427
MM, 32, 23, 269
MM, 37, 22, 11
MM, 3, 5, 25
MM, 27, 28, 12
MM, 1, 11, 13
MM, 7, 24, 24
