********************************************************************************
LOGGING TIME: 20181030_044544
CLIENT IP: 10.112.1.12
USERNAME: user
OS: Windows 8.1
ARCHITECTURE: amd64
VERSION: 6.3
RESOLUTION: 1366.0 768.0
********************************************************************************
MM, 715, 367, 15
MM, 717, 370, 0
MM, 719, 373, 16
MM, 722, 376, 0
MM, 724, 378, 16
MM, 726, 380, 0
MM, 728, 382, 15
MM, 730, 384, 0
MM, 732, 386, 16
MM, 732, 387, 0
MM, 733, 389, 15
MM, 734, 390, 0
MM, 734, 390, 16
MM, 735, 391, 0
MM, 735, 391, 16
MM, 736, 392, 0
MM, 736, 392, 15
MM, 737, 393, 16
MM, 737, 393, 16
MP, 1, 166
MR, 1, 100
MC, 1, 0
MM, 736, 393, 593
MM, 736, 393, 15
MM, 736, 393, 0
MM, 735, 393, 16
MM, 735, 393, 262
MM, 734, 394, 15
MM, 733, 395, 0
MM, 733, 396, 19
MM, 732, 398, 8
MM, 731, 400, 8
MM, 731, 401, 8
MM, 730, 403, 8
MM, 730, 405, 6
MM, 729, 407, 0
MM, 727, 410, 16
MM, 727, 412, 16
MM, 726, 414, 0
MM, 726, 416, 15
MM, 725, 417, 0
MM, 724, 419, 16
MM, 724, 422, 0
MM, 723, 424, 15
MM, 723, 427, 0
MM, 722, 430, 16
MM, 721, 433, 0
MM, 720, 441, 16
MM, 719, 445, 0
MM, 718, 447, 15
MM, 718, 450, 0
MM, 717, 452, 16
MM, 717, 455, 16
MM, 717, 456, 0
MM, 717, 458, 15
MM, 717, 459, 0
MM, 717, 460, 0
MM, 717, 460, 16
MM, 717, 460, 0
MM, 718, 461, 15
MM, 718, 463, 0
MM, 719, 464, 16
MM, 720, 465, 16
MM, 721, 467, 0
MM, 722, 468, 0
MM, 723, 468, 15
MM, 724, 469, 0
MM, 724, 469, 16
MM, 725, 470, 0
MM, 725, 470, 16
MM, 725, 470, 46
MM, 726, 470, 0
MM, 728, 471, 16
MM, 731, 473, 0
MM, 734, 474, 16
MM, 739, 477, 0
MM, 744, 479, 15
MM, 750, 481, 0
MM, 754, 484, 16
MM, 759, 486, 0
MM, 764, 488, 16
MM, 767, 491, 0
MM, 770, 493, 15
MM, 775, 495, 0
MM, 782, 498, 16
MM, 789, 502, 0
MM, 795, 505, 15
MM, 802, 509, 0
MM, 808, 512, 16
MM, 815, 515, 0
MM, 822, 519, 16
MM, 826, 521, 0
MM, 829, 523, 15
MM, 832, 525, 0
MM, 833, 525, 16
MM, 834, 526, 0
MM, 835, 526, 109
MM, 835, 527, 0
MM, 836, 527, 16
MM, 838, 528, 0
MM, 840, 528, 16
MM, 842, 529, 0
MM, 843, 530, 15
MM, 845, 531, 0
MM, 847, 532, 16
MM, 850, 533, 0
MM, 851, 534, 15
MM, 854, 535, 0
MM, 856, 536, 16
MM, 858, 537, 0
MM, 860, 538, 16
MM, 862, 538, 0
MM, 863, 539, 15
MM, 864, 540, 0
MM, 865, 540, 16
MM, 867, 541, 0
MM, 868, 541, 16
MM, 868, 542, 0
MM, 870, 543, 15
MM, 871, 543, 16
MM, 872, 544, 0
MM, 873, 544, 18
MM, 873, 544, 8
MM, 874, 546, 6
MM, 875, 546, 8
MM, 876, 548, 8
MM, 877, 549, 8
MM, 879, 551, 8
MM, 881, 553, 8
MM, 882, 555, 8
MM, 883, 557, 6
MM, 885, 558, 4
MM, 885, 560, 0
MM, 886, 561, 15
MM, 886, 562, 0
MM, 887, 562, 16
MM, 887, 563, 0
MM, 887, 563, 16
MM, 888, 564, 15
MM, 888, 564, 0
MP, 1, 125
MR, 1, 135
MC, 1, 0
MM, 887, 564, 305
MM, 887, 564, 16
MM, 886, 564, 47
MM, 886, 565, 16
MM, 886, 565, 47
MM, 885, 565, 0
MM, 885, 565, 29
MM, 885, 565, 0
MM, 884, 565, 16
MM, 884, 565, 0
MM, 883, 565, 15
MM, 882, 565, 0
MM, 881, 565, 16
MM, 879, 565, 0
MM, 878, 565, 16
MM, 876, 564, 0
MM, 874, 563, 15
MM, 872, 561, 0
MM, 870, 559, 16
MM, 867, 556, 0
MM, 864, 552, 15
MM, 861, 548, 0
MM, 858, 541, 18
MM, 853, 534, 8
MM, 847, 526, 8
MM, 842, 517, 8
MM, 836, 508, 8
MM, 828, 498, 8
MM, 821, 487, 8
MM, 814, 476, 6
MM, 807, 465, 8
MM, 801, 456, 8
MM, 796, 448, 8
MM, 790, 441, 4
MM, 785, 434, 0
MM, 780, 428, 16
MM, 775, 423, 0
MM, 770, 418, 16
MM, 765, 413, 0
MM, 761, 408, 15
MM, 756, 403, 0
MM, 751, 398, 19
MM, 746, 394, 3
MM, 743, 391, 0
MM, 740, 388, 16
MM, 737, 385, 0
MM, 735, 382, 15
MM, 734, 381, 0
MM, 733, 380, 16
MM, 733, 380, 159
MM, 733, 379, 110
MP, 1, 15
MR, 1, 78
MC, 1, 0
MM, 733, 380, 407
MM, 733, 381, 15
MM, 733, 381, 0
MM, 733, 382, 16
MM, 733, 383, 0
MM, 733, 385, 15
MM, 734, 387, 0
MM, 734, 389, 16
MM, 735, 390, 0
MM, 735, 392, 16
MM, 736, 394, 0
MM, 737, 396, 17
MM, 737, 400, 8
MM, 738, 402, 6
MM, 739, 406, 8
MM, 739, 410, 8
MM, 740, 415, 8
MM, 740, 419, 8
MM, 740, 425, 8
MM, 740, 432, 7
MM, 740, 439, 0
MM, 740, 448, 16
MM, 739, 456, 0
MM, 739, 466, 15
MM, 738, 475, 0
MM, 736, 492, 16
MM, 735, 500, 16
MM, 734, 510, 0
MM, 733, 521, 0
MM, 733, 530, 15
MM, 732, 540, 0
MM, 731, 548, 21
MM, 730, 555, 0
MM, 729, 563, 15
MM, 728, 569, 0
MM, 727, 577, 16
MM, 727, 583, 0
MM, 726, 590, 16
MM, 725, 596, 0
MM, 725, 601, 15
MM, 724, 607, 0
MM, 724, 612, 16
MM, 723, 617, 0
MM, 723, 621, 16
MM, 723, 625, 0
MM, 723, 629, 15
MM, 723, 632, 0
MM, 723, 636, 16
MM, 723, 640, 0
MM, 723, 644, 15
MM, 723, 650, 0
MM, 723, 656, 16
MM, 723, 662, 0
MM, 723, 666, 16
MM, 724, 669, 0
MM, 724, 670, 15
MM, 724, 672, 0
MM, 724, 674, 17
MM, 724, 675, 6
MM, 724, 675, 8
MM, 724, 676, 2
MM, 724, 677, 0
MM, 725, 678, 16
MM, 726, 681, 0
MM, 727, 684, 22
MM, 728, 686, 8
MM, 728, 688, 6
MM, 729, 690, 5
MM, 730, 692, 0
MM, 731, 694, 16
MM, 731, 696, 0
MM, 732, 697, 15
MM, 733, 698, 0
MM, 734, 700, 16
MM, 736, 702, 0
MM, 738, 705, 15
MM, 741, 710, 0
MM, 744, 714, 16
MM, 748, 720, 0
MM, 751, 725, 16
MM, 754, 730, 0
MM, 757, 735, 15
MM, 759, 738, 0
MM, 761, 742, 16
MM, 762, 745, 0
MM, 762, 747, 16
MM, 763, 749, 0
MM, 763, 751, 15
MM, 764, 752, 0
MM, 764, 752, 16
MM, 764, 752, 78
MP, 1, 0
MR, 1, 133
MC, 1, 0
MM, 763, 752, 456
MM, 762, 752, 8
MM, 762, 752, 8
MM, 761, 752, 1
MM, 761, 752, 16
MM, 760, 752, 8
MM, 760, 751, 8
MM, 759, 751, 6
MM, 759, 751, 0
MM, 758, 751, 16
MM, 758, 751, 0
MM, 758, 751, 15
MM, 757, 751, 0
MM, 756, 750, 16
MM, 756, 750, 0
MM, 755, 750, 15
MM, 755, 749, 0
MM, 754, 749, 32
MM, 753, 748, 15
MM, 753, 748, 9
MM, 752, 748, 0
MM, 752, 747, 15
MM, 752, 747, 0
MM, 752, 747, 16
MM, 751, 747, 0
MM, 751, 745, 226
MM, 749, 742, 16
MM, 748, 735, 0
MM, 747, 729, 15
MM, 744, 721, 0
MM, 742, 711, 16
MM, 738, 703, 0
MM, 735, 696, 16
MM, 733, 688, 0
MM, 729, 680, 20
MM, 727, 673, 8
MM, 725, 669, 2
MM, 725, 666, 0
MM, 724, 664, 15
MM, 724, 664, 0
MM, 724, 664, 78
MP, 1, 489
MR, 1, 110
MC, 1, 0
MM, 723, 664, 513
MM, 723, 664, 23
MM, 723, 666, 15
MM, 723, 668, 0
MM, 723, 669, 16
MM, 723, 671, 0
MM, 724, 674, 16
MM, 725, 677, 0
MM, 727, 682, 0
MM, 728, 686, 15
MM, 729, 689, 16
MM, 731, 693, 7
MM, 732, 697, 4
MM, 735, 701, 0
MM, 737, 706, 16
MM, 739, 711, 0
MM, 741, 715, 15
MM, 743, 719, 0
MM, 744, 722, 16
MM, 746, 725, 0
MM, 747, 728, 16
MM, 749, 731, 0
MM, 750, 733, 15
MM, 751, 736, 0
MM, 751, 737, 18
MM, 752, 739, 8
MM, 752, 741, 8
MM, 753, 742, 8
MM, 753, 743, 5
MM, 753, 744, 0
MM, 753, 744, 16
MP, 1, 75
MD, 754, 744, 15
MR, 1, 94
MM, 754, 744, 417
MM, 753, 743, 16
MM, 752, 743, 15
MM, 752, 742, 0
MM, 751, 742, 16
MM, 751, 741, 0
MM, 750, 741, 16
MM, 749, 741, 0
MM, 748, 740, 15
MM, 748, 740, 0
MM, 747, 740, 16
MM, 746, 740, 0
MM, 745, 740, 16
MM, 740, 740, 0
MM, 733, 741, 18
MM, 727, 743, 8
MM, 722, 744, 8
MM, 718, 745, 8
MM, 714, 746, 8
MM, 710, 747, 2
MM, 703, 750, 0
MM, 696, 752, 16
MM, 690, 753, 0
MM, 682, 754, 21
MM, 674, 755, 8
MM, 666, 756, 1
MM, 658, 757, 0
MM, 651, 758, 16
MM, 644, 758, 0
MM, 638, 758, 15
MM, 631, 758, 0
MM, 627, 758, 16
MM, 621, 758, 0
MM, 616, 758, 15
MM, 613, 758, 0
MM, 609, 757, 16
MM, 604, 756, 0
MM, 598, 756, 16
MM, 591, 755, 0
MM, 583, 754, 15
MM, 577, 753, 0
MM, 570, 752, 16
MM, 565, 752, 0
MM, 560, 751, 16
MM, 556, 750, 0
MM, 552, 749, 15
MM, 549, 749, 0
MM, 546, 748, 20
MM, 543, 747, 7
MM, 538, 747, 0
MM, 534, 746, 17
MM, 528, 745, 8
MM, 524, 743, 8
MM, 519, 743, 6
MM, 514, 742, 8
MM, 509, 741, 8
MM, 506, 741, 8
MM, 504, 740, 4
MM, 503, 740, 0
MM, 503, 739, 15
MM, 503, 739, 101
MM, 503, 739, 78
MM, 503, 739, 289
MM, 502, 739, 16
MM, 502, 739, 15
MM, 502, 739, 6
MM, 501, 739, 0
MM, 501, 739, 16
MM, 500, 740, 0
MM, 498, 741, 15
MM, 494, 743, 0
MM, 487, 745, 16
MM, 479, 747, 0
MM, 473, 747, 16
MM, 468, 748, 0
MM, 464, 749, 15
MM, 461, 750, 0
MM, 459, 750, 16
MM, 457, 750, 0
MM, 457, 750, 16
MM, 457, 751, 0
MM, 457, 751, 91
MM, 457, 751, 16
MM, 457, 751, 62
MM, 458, 751, 16
MM, 459, 751, 0
MM, 462, 751, 15
MM, 464, 751, 0
MM, 468, 751, 16
MM, 473, 751, 0
MM, 476, 751, 16
MM, 480, 750, 0
MM, 485, 750, 15
MM, 488, 750, 0
MM, 492, 750, 16
MM, 496, 749, 0
MM, 498, 749, 15
MM, 501, 749, 0
MM, 502, 749, 16
MM, 504, 749, 0
MM, 506, 749, 16
MM, 507, 749, 0
MM, 508, 749, 15
MM, 508, 749, 0
MM, 509, 749, 16
MM, 509, 749, 0
MM, 509, 749, 16
MP, 1, 48
MR, 1, 125
MC, 1, 0
MM, 510, 748, 277
MM, 510, 745, 0
MM, 511, 743, 16
MM, 512, 738, 16
MM, 513, 733, 0
MM, 513, 726, 0
MM, 514, 718, 21
MM, 516, 709, 8
MM, 519, 696, 8
MM, 522, 684, 8
MM, 525, 669, 8
MM, 529, 656, 8
MM, 532, 643, 6
MM, 535, 634, 8
MM, 537, 626, 8
MM, 540, 620, 8
MM, 542, 613, 8
MM, 545, 607, 8
MM, 547, 601, 8
MM, 550, 596, 8
MM, 553, 589, 6
MM, 556, 581, 8
MM, 560, 572, 8
MM, 570, 553, 16
MM, 574, 543, 8
MM, 578, 536, 8
MM, 581, 528, 8
MM, 585, 521, 6
MM, 588, 514, 8
MM, 591, 508, 9
MM, 593, 505, 8
MM, 594, 502, 8
MM, 595, 502, 8
MM, 595, 501, 8
MM, 595, 501, 146
MM, 595, 501, 32
MM, 596, 500, 8
MM, 596, 500, 6
MM, 600, 497, 16
MM, 602, 495, 8
MM, 605, 494, 8
MM, 608, 493, 8
MM, 610, 491, 8
MM, 613, 489, 8
MM, 615, 489, 6
MM, 617, 488, 8
MM, 618, 487, 8
MM, 618, 487, 8
MM, 618, 486, 379
MM, 617, 483, 8
MM, 614, 476, 8
MM, 610, 468, 6
MM, 606, 455, 8
MM, 595, 434, 8
MM, 584, 411, 8
MM, 572, 388, 8
MM, 558, 362, 8
MM, 542, 337, 8
MM, 523, 310, 6
MM, 503, 286, 8
MM, 484, 265, 8
MM, 469, 247, 8
MM, 454, 231, 8
MM, 443, 217, 8
MM, 436, 209, 8
MM, 428, 201, 8
MM, 421, 193, 6
MM, 415, 187, 8
MM, 410, 182, 8
MM, 407, 179, 8
MM, 404, 176, 8
MM, 403, 176, 8
MM, 402, 176, 8
MM, 401, 175, 68
MM, 399, 173, 8
MM, 393, 169, 8
MM, 385, 164, 8
MM, 371, 157, 8
MM, 357, 149, 8
MM, 340, 141, 8
MM, 324, 134, 8
MM, 310, 128, 6
MM, 297, 124, 8
MM, 289, 122, 8
MM, 283, 121, 8
MM, 281, 120, 8
MM, 280, 120, 8
MM, 280, 120, 54
MM, 280, 121, 16
MM, 280, 122, 8
MM, 280, 124, 6
MM, 280, 125, 8
MM, 280, 128, 8
MM, 280, 131, 8
MM, 280, 134, 8
MM, 280, 137, 8
MM, 280, 142, 8
MM, 279, 144, 8
MM, 278, 147, 6
MM, 278, 149, 8
MM, 278, 150, 8
MM, 278, 151, 8
MM, 278, 151, 8
MM, 278, 152, 8
MM, 278, 153, 8
MM, 279, 153, 6
MM, 279, 153, 8
MM, 279, 154, 8
